20240925-19:33:40.088313 Connecting to host 192.168.68.101, port 5201
20240925-19:33:40.088540 Reverse mode, remote host 192.168.68.101 is sending
20240925-19:33:40.088592 [  5] local 192.168.68.111 port 55389 connected to 192.168.68.101 port 5201
20240925-19:33:40.088631 [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
20240925-19:33:47.288377 [  5]   7.20-7.30   sec   163 KBytes  13.3 Mbits/sec  0.499 ms  0/114 (0%)  
20240925-19:33:47.388199 [  5]   7.30-7.40   sec   107 KBytes  8.77 Mbits/sec  0.839 ms  0/75 (0%)  
20240925-19:33:47.488173 [  5]   7.40-7.50   sec   177 KBytes  14.5 Mbits/sec  0.801 ms  0/124 (0%)  
20240925-19:33:47.588383 [  5]   7.50-7.60   sec   106 KBytes  8.64 Mbits/sec  0.749 ms  0/74 (0%)  
20240925-19:33:47.688431 [  5]   7.60-7.70   sec   180 KBytes  14.7 Mbits/sec  0.998 ms  0/126 (0%)  
20240925-19:33:47.788280 [  5]   7.70-7.80   sec   117 KBytes  9.58 Mbits/sec  0.880 ms  0/82 (0%)  
20240925-19:33:47.888319 [  5]   7.80-7.90   sec   168 KBytes  13.8 Mbits/sec  0.737 ms  0/118 (0%)  
20240925-19:33:47.988158 [  5]   7.90-8.00   sec   103 KBytes  8.41 Mbits/sec  0.828 ms  0/72 (0%)  
20240925-19:33:48.088257 [  5]   8.00-8.10   sec   182 KBytes  14.9 Mbits/sec  1.609 ms  0/128 (0%)  
20240925-19:33:48.188312 [  5]   8.10-8.20   sec   115 KBytes  9.46 Mbits/sec  0.775 ms  0/81 (0%)  
20240925-19:33:48.288580 [  5]   8.20-8.30   sec   170 KBytes  13.9 Mbits/sec  1.070 ms  0/119 (0%)  
20240925-19:33:48.388351 [  5]   8.30-8.40   sec  95.5 KBytes  7.84 Mbits/sec  1.245 ms  0/67 (0%)  
20240925-19:33:48.488293 [  5]   8.40-8.50   sec  99.8 KBytes  8.17 Mbits/sec  1.062 ms  0/70 (0%)  
20240925-19:33:48.588195 [  5]   8.50-8.60   sec   197 KBytes  16.1 Mbits/sec  0.762 ms  0/138 (0%)  
20240925-19:33:48.688343 [  5]   8.60-8.70   sec   178 KBytes  14.6 Mbits/sec  1.293 ms  0/125 (0%)  
20240925-19:33:48.788393 [  5]   8.70-8.80   sec  0.00 Bytes  0.00 bits/sec  1.293 ms  0/0 (0%)  
20240925-19:33:48.888371 [  5]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec  1.293 ms  0/0 (0%)  
20240925-19:33:48.988218 [  5]   8.90-9.00   sec  0.00 Bytes  0.00 bits/sec  1.293 ms  0/0 (0%)  
20240925-19:33:49.088320 [  5]   9.00-9.10   sec   103 KBytes  8.41 Mbits/sec  0.988 ms  334/406 (82%)  
20240925-19:33:49.188273 [  5]   9.10-9.20   sec   127 KBytes  10.4 Mbits/sec  0.802 ms  0/89 (0%)  
20240925-19:33:49.288309 [  5]   9.20-9.30   sec   131 KBytes  10.7 Mbits/sec  0.907 ms  0/92 (0%)  
20240925-19:33:49.388333 [  5]   9.30-9.40   sec   165 KBytes  13.5 Mbits/sec  0.801 ms  0/116 (0%)  
20240925-19:33:49.488081 [  5]   9.40-9.50   sec  94.1 KBytes  7.72 Mbits/sec  0.725 ms  0/66 (0%)  
20240925-19:33:49.588141 [  5]   9.50-9.60   sec   163 KBytes  13.3 Mbits/sec  0.953 ms  0/114 (0%)  
20240925-19:33:49.688194 [  5]   9.60-9.70   sec   198 KBytes  16.2 Mbits/sec  0.856 ms  0/139 (0%)  
20240925-19:33:49.788189 [  5]   9.70-9.80   sec   114 KBytes  9.34 Mbits/sec  0.707 ms  0/80 (0%)  
20240925-19:33:49.888257 [  5]   9.80-9.90   sec   147 KBytes  12.0 Mbits/sec  0.704 ms  0/103 (0%)  
20240925-19:33:49.988178 [  5]   9.90-10.00  sec  37.1 KBytes  3.04 Mbits/sec  2.698 ms  0/26 (0%)  
20240925-19:33:50.088222 [  5]  10.00-10.10  sec   167 KBytes  13.7 Mbits/sec  1.278 ms  0/117 (0%)  
20240925-19:33:50.188206 [  5]  10.10-10.20  sec   192 KBytes  15.8 Mbits/sec  1.165 ms  0/135 (0%)  
20240925-19:33:50.288271 [  5]  10.20-10.30  sec   167 KBytes  13.7 Mbits/sec  1.178 ms  0/117 (0%)  
20240925-19:33:50.388191 [  5]  10.30-10.40  sec  95.5 KBytes  7.83 Mbits/sec  0.824 ms  0/67 (0%)  
20240925-19:33:50.488127 [  5]  10.40-10.50  sec   212 KBytes  17.4 Mbits/sec  0.865 ms  0/149 (0%)  
20240925-19:33:50.588184 [  5]  10.50-10.60  sec   103 KBytes  8.41 Mbits/sec  0.774 ms  0/72 (0%)  
20240925-19:33:50.688277 [  5]  10.60-10.70  sec   160 KBytes  13.1 Mbits/sec  0.928 ms  0/112 (0%)  
20240925-19:33:50.788278 [  5]  10.70-10.80  sec  91.2 KBytes  7.48 Mbits/sec  0.882 ms  0/64 (0%)  
20240925-19:33:50.888275 [  5]  10.80-10.90  sec   175 KBytes  14.4 Mbits/sec  1.226 ms  1/124 (0.81%)  
20240925-19:33:50.988266 [  5]  10.90-11.00  sec   138 KBytes  11.3 Mbits/sec  1.220 ms  0/97 (0%)  
20240925-19:33:51.088209 [  5]  11.00-11.10  sec   165 KBytes  13.5 Mbits/sec  0.701 ms  0/116 (0%)  
20240925-19:33:51.188307 [  5]  11.10-11.20  sec   101 KBytes  8.29 Mbits/sec  1.061 ms  0/71 (0%)  
20240925-19:33:51.288233 [  5]  11.20-11.30  sec   182 KBytes  14.9 Mbits/sec  1.149 ms  0/128 (0%)  
20240925-19:33:51.388458 [  5]  11.30-11.40  sec   103 KBytes  8.40 Mbits/sec  0.895 ms  0/72 (0%)  
20240925-19:33:51.488228 [  5]  11.40-11.50  sec   197 KBytes  16.1 Mbits/sec  1.116 ms  0/138 (0%)  
20240925-19:33:51.588162 [  5]  11.50-11.60  sec  95.5 KBytes  7.83 Mbits/sec  0.867 ms  0/67 (0%)  
20240925-19:33:51.688229 [  5]  11.60-11.70  sec   175 KBytes  14.4 Mbits/sec  0.811 ms  0/123 (0%)  
20240925-19:33:51.788275 [  5]  11.70-11.80  sec  92.7 KBytes  7.59 Mbits/sec  1.142 ms  0/65 (0%)  
20240925-19:33:51.888285 [  5]  11.80-11.90  sec   215 KBytes  17.6 Mbits/sec  0.874 ms  0/151 (0%)  
20240925-19:33:51.988216 [  5]  11.90-12.00  sec   110 KBytes  8.99 Mbits/sec  0.774 ms  0/77 (0%)  
20240925-19:33:52.088219 [  5]  12.00-12.10  sec   153 KBytes  12.5 Mbits/sec  0.860 ms  0/107 (0%)  
20240925-19:33:52.188165 [  5]  12.10-12.20  sec  97.0 KBytes  7.94 Mbits/sec  1.021 ms  0/68 (0%)  
20240925-19:33:52.288388 [  5]  12.20-12.30  sec   188 KBytes  15.4 Mbits/sec  0.816 ms  0/132 (0%)  
20240925-19:33:52.388249 [  5]  12.30-12.40  sec  98.4 KBytes  8.07 Mbits/sec  1.164 ms  0/69 (0%)  
20240925-19:33:52.488280 [  5]  12.40-12.50  sec   173 KBytes  14.1 Mbits/sec  0.869 ms  0/121 (0%)  
20240925-19:33:52.588326 [  5]  12.50-12.60  sec   158 KBytes  12.9 Mbits/sec  0.766 ms  0/111 (0%)  
20240925-19:33:52.688166 [  5]  12.60-12.70  sec   101 KBytes  8.30 Mbits/sec  1.056 ms  0/71 (0%)  
20240925-19:33:52.788270 [  5]  12.70-12.80  sec   205 KBytes  16.8 Mbits/sec  1.033 ms  0/144 (0%)  
20240925-19:33:52.888256 [  5]  12.80-12.90  sec   114 KBytes  9.34 Mbits/sec  1.086 ms  0/80 (0%)  
20240925-19:33:52.988190 [  5]  12.90-13.00  sec   153 KBytes  12.5 Mbits/sec  0.738 ms  0/107 (0%)  
20240925-19:33:53.088298 [  5]  13.00-13.10  sec   106 KBytes  8.64 Mbits/sec  0.640 ms  0/74 (0%)  
20240925-19:33:53.188424 [  5]  13.10-13.20  sec   175 KBytes  14.3 Mbits/sec  0.841 ms  0/123 (0%)  
20240925-19:33:53.288180 [  5]  13.20-13.30  sec  97.0 KBytes  7.96 Mbits/sec  0.970 ms  0/68 (0%)  
20240925-19:33:53.388283 [  5]  13.30-13.40  sec   195 KBytes  16.0 Mbits/sec  1.376 ms  0/137 (0%)  
20240925-19:33:53.488265 [  5]  13.40-13.50  sec   113 KBytes  9.23 Mbits/sec  1.087 ms  0/79 (0%)  
20240925-19:33:53.588525 [  5]  13.50-13.60  sec   165 KBytes  13.5 Mbits/sec  0.919 ms  0/116 (0%)  
20240925-19:33:53.688223 [  5]  13.60-13.70  sec   117 KBytes  9.60 Mbits/sec  1.030 ms  0/82 (0%)  
20240925-19:33:53.788238 [  5]  13.70-13.80  sec   168 KBytes  13.8 Mbits/sec  0.955 ms  0/118 (0%)  
20240925-19:33:53.888228 [  5]  13.80-13.90  sec   114 KBytes  9.35 Mbits/sec  0.619 ms  0/80 (0%)  
20240925-19:33:53.988345 [  5]  13.90-14.00  sec   171 KBytes  14.0 Mbits/sec  1.069 ms  0/120 (0%)  
20240925-19:33:54.088312 [  5]  14.00-14.10  sec  99.8 KBytes  8.18 Mbits/sec  0.713 ms  0/70 (0%)  
20240925-19:33:54.188591 [  5]  14.10-14.20  sec   185 KBytes  15.2 Mbits/sec  0.943 ms  0/130 (0%)  
20240925-19:33:54.288184 [  5]  14.20-14.30  sec  88.4 KBytes  7.26 Mbits/sec  1.000 ms  0/62 (0%)  
20240925-19:33:54.388129 [  5]  14.30-14.40  sec   218 KBytes  17.9 Mbits/sec  1.145 ms  0/153 (0%)  
20240925-19:33:54.488303 [  5]  14.40-14.50  sec   113 KBytes  9.23 Mbits/sec  0.829 ms  0/79 (0%)  
20240925-19:33:54.588590 [  5]  14.50-14.60  sec   153 KBytes  12.5 Mbits/sec  0.778 ms  0/107 (0%)  
20240925-19:33:54.688293 [  5]  14.60-14.70  sec   107 KBytes  8.78 Mbits/sec  0.684 ms  0/75 (0%)  
20240925-19:33:54.788311 [  5]  14.70-14.80  sec   177 KBytes  14.5 Mbits/sec  1.089 ms  0/124 (0%)  
20240925-19:33:54.888183 [  5]  14.80-14.90  sec  64.2 KBytes  5.26 Mbits/sec  1.583 ms  0/45 (0%)  
20240925-19:33:54.988300 [  5]  14.90-15.00  sec   192 KBytes  15.8 Mbits/sec  0.769 ms  0/135 (0%)  
20240925-19:33:55.088611 [  5]  15.00-15.10  sec   171 KBytes  14.0 Mbits/sec  0.968 ms  0/120 (0%)  
20240925-19:33:55.188307 [  5]  15.10-15.20  sec   110 KBytes  9.01 Mbits/sec  1.038 ms  0/77 (0%)  
20240925-19:33:55.288325 [  5]  15.20-15.30  sec   175 KBytes  14.4 Mbits/sec  1.167 ms  0/123 (0%)  
20240925-19:33:55.388165 [  5]  15.30-15.40  sec   110 KBytes  9.00 Mbits/sec  1.036 ms  0/77 (0%)  
20240925-19:33:55.488234 [  5]  15.40-15.50  sec   175 KBytes  14.4 Mbits/sec  1.078 ms  0/123 (0%)  
20240925-19:33:55.588246 [  5]  15.50-15.60  sec  94.1 KBytes  7.71 Mbits/sec  1.171 ms  0/66 (0%)  
20240925-19:33:55.688308 [  5]  15.60-15.70  sec   210 KBytes  17.2 Mbits/sec  0.880 ms  0/147 (0%)  
20240925-19:33:55.788291 [  5]  15.70-15.80  sec   106 KBytes  8.64 Mbits/sec  1.040 ms  0/74 (0%)  
