20240925-19:31:07.537103 Connecting to host 192.168.68.101, port 5201
20240925-19:31:07.537274 Reverse mode, remote host 192.168.68.101 is sending
20240925-19:31:07.537317 [  5] local 192.168.68.113 port 40055 connected to 192.168.68.101 port 5201
20240925-19:31:07.537353 [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
20240925-19:31:15.837299 [  5]   8.30-8.40   sec   220 KBytes  18.0 Mbits/sec  0.701 ms  0/154 (0%)  
20240925-19:31:15.937224 [  5]   8.40-8.50   sec   118 KBytes  9.70 Mbits/sec  0.732 ms  0/83 (0%)  
20240925-19:31:16.037276 [  5]   8.50-8.60   sec   168 KBytes  13.8 Mbits/sec  0.488 ms  0/118 (0%)  
20240925-19:31:16.137151 [  5]   8.60-8.70   sec   113 KBytes  9.23 Mbits/sec  0.780 ms  0/79 (0%)  
20240925-19:31:16.237183 [  5]   8.70-8.80   sec   177 KBytes  14.5 Mbits/sec  0.596 ms  0/124 (0%)  
20240925-19:31:16.337045 [  5]   8.80-8.90   sec   118 KBytes  9.71 Mbits/sec  0.799 ms  0/83 (0%)  
20240925-19:31:16.437285 [  5]   8.90-9.00   sec   171 KBytes  14.0 Mbits/sec  0.754 ms  0/120 (0%)  
20240925-19:31:16.537318 [  5]   9.00-9.10   sec   107 KBytes  8.77 Mbits/sec  0.863 ms  0/75 (0%)  
20240925-19:31:16.637516 [  5]   9.10-9.20   sec   173 KBytes  14.1 Mbits/sec  0.548 ms  0/121 (0%)  
20240925-19:31:16.737124 [  5]   9.20-9.30   sec   107 KBytes  8.79 Mbits/sec  0.879 ms  0/75 (0%)  
20240925-19:31:16.837139 [  5]   9.30-9.40   sec   171 KBytes  14.0 Mbits/sec  0.671 ms  0/120 (0%)  
20240925-19:31:16.937309 [  5]   9.40-9.50   sec   123 KBytes  10.0 Mbits/sec  0.684 ms  0/86 (0%)  
20240925-19:31:17.037405 [  5]   9.50-9.60   sec   174 KBytes  14.2 Mbits/sec  0.657 ms  0/122 (0%)  
20240925-19:31:17.137331 [  5]   9.60-9.70   sec   117 KBytes  9.60 Mbits/sec  0.785 ms  0/82 (0%)  
20240925-19:31:17.237177 [  5]   9.70-9.80   sec   138 KBytes  11.3 Mbits/sec  1.040 ms  0/97 (0%)  
20240925-19:31:17.337095 [  5]   9.80-9.90   sec   107 KBytes  8.76 Mbits/sec  0.887 ms  0/75 (0%)  
20240925-19:31:17.437067 [  5]   9.90-10.00  sec   198 KBytes  16.2 Mbits/sec  0.758 ms  0/139 (0%)  
20240925-19:31:17.537246 [  5]  10.00-10.10  sec  88.4 KBytes  7.24 Mbits/sec  0.781 ms  0/62 (0%)  
20240925-19:31:17.637351 [  5]  10.10-10.20  sec   204 KBytes  16.7 Mbits/sec  1.019 ms  0/143 (0%)  
20240925-19:31:17.737079 [  5]  10.20-10.30  sec  91.2 KBytes  7.49 Mbits/sec  0.968 ms  0/64 (0%)  
20240925-19:31:17.837185 [  5]  10.30-10.40  sec   187 KBytes  15.3 Mbits/sec  0.840 ms  0/131 (0%)  
20240925-19:31:17.937044 [  5]  10.40-10.50  sec  97.0 KBytes  7.95 Mbits/sec  0.650 ms  0/68 (0%)  
20240925-19:31:18.037357 [  5]  10.50-10.60  sec   177 KBytes  14.5 Mbits/sec  1.592 ms  0/124 (0%)  
20240925-19:31:18.137201 [  5]  10.60-10.70  sec   108 KBytes  8.87 Mbits/sec  0.936 ms  0/76 (0%)  
20240925-19:31:18.237322 [  5]  10.70-10.80  sec   197 KBytes  16.1 Mbits/sec  0.844 ms  0/138 (0%)  
20240925-19:31:18.337125 [  5]  10.80-10.90  sec  92.7 KBytes  7.59 Mbits/sec  0.906 ms  0/65 (0%)  
20240925-19:31:18.437044 [  5]  10.90-11.00  sec   182 KBytes  15.0 Mbits/sec  1.670 ms  0/128 (0%)  
20240925-19:31:18.537142 [  5]  11.00-11.10  sec  91.2 KBytes  7.48 Mbits/sec  0.857 ms  0/64 (0%)  
20240925-19:31:18.637583 [  5]  11.10-11.20  sec   194 KBytes  15.8 Mbits/sec  0.987 ms  0/136 (0%)  
20240925-19:31:18.737193 [  5]  11.20-11.30  sec  89.8 KBytes  7.38 Mbits/sec  0.899 ms  0/63 (0%)  
20240925-19:31:18.837335 [  5]  11.30-11.40  sec   195 KBytes  16.0 Mbits/sec  1.023 ms  0/137 (0%)  
20240925-19:31:18.937079 [  5]  11.40-11.50  sec   103 KBytes  8.42 Mbits/sec  0.949 ms  0/72 (0%)  
20240925-19:31:19.037411 [  5]  11.50-11.60  sec   182 KBytes  14.9 Mbits/sec  1.039 ms  0/128 (0%)  
20240925-19:31:19.137179 [  5]  11.60-11.70  sec   108 KBytes  8.89 Mbits/sec  0.948 ms  0/76 (0%)  
20240925-19:31:19.237202 [  5]  11.70-11.80  sec   164 KBytes  13.4 Mbits/sec  1.973 ms  0/115 (0%)  
20240925-19:31:19.337237 [  5]  11.80-11.90  sec  92.7 KBytes  7.59 Mbits/sec  0.735 ms  0/65 (0%)  
20240925-19:31:19.437065 [  5]  11.90-12.00  sec   194 KBytes  15.9 Mbits/sec  1.164 ms  0/136 (0%)  
20240925-19:31:19.537056 [  5]  12.00-12.10  sec   133 KBytes  10.9 Mbits/sec  1.038 ms  0/93 (0%)  
20240925-19:31:19.637420 [  5]  12.10-12.20  sec   134 KBytes  11.0 Mbits/sec  1.685 ms  0/94 (0%)  
20240925-19:31:19.737175 [  5]  12.20-12.30  sec   165 KBytes  13.6 Mbits/sec  1.049 ms  0/116 (0%)  
20240925-19:31:19.837226 [  5]  12.30-12.40  sec   135 KBytes  11.1 Mbits/sec  1.200 ms  0/95 (0%)  
20240925-19:31:19.937124 [  5]  12.40-12.50  sec   155 KBytes  12.7 Mbits/sec  0.907 ms  0/109 (0%)  
20240925-19:31:20.037046 [  5]  12.50-12.60  sec  99.8 KBytes  8.18 Mbits/sec  1.243 ms  0/70 (0%)  
20240925-19:31:20.137298 [  5]  12.60-12.70  sec   164 KBytes  13.4 Mbits/sec  1.175 ms  0/115 (0%)  
20240925-19:31:20.237202 [  5]  12.70-12.80  sec   167 KBytes  13.7 Mbits/sec  0.353 ms  0/117 (0%)  
